"j","k","method","ISE_MC"
1,7,"GM",0.00288977922832654
1,7,"NW",0.00280865371987367
1,7,"LL",0.00048536531138427
1,10,"GM",0.0128105055252764
1,10,"NW",0.00461827506545461
1,10,"LL",0.00750317807932199
1,14,"GM",0.00146567618547545
1,14,"NW",0.00148140027305497
1,14,"LL",0.00135659599897304
2,7,"GM",0.00510735629683952
2,7,"NW",0.00257385873128118
2,7,"LL",0.000806897061228746
2,10,"GM",0.00314113929722516
2,10,"NW",0.00372056187091511
2,10,"LL",0.00135292371183071
2,14,"GM",0.00271552571277328
2,14,"NW",0.00291646136028309
2,14,"LL",0.00104989167966155
3,7,"GM",0.00441196631579536
3,7,"NW",0.00655049335411938
3,7,"LL",0.00710502653858837
3,10,"GM",0.00308168350055644
3,10,"NW",0.0030168819789022
3,10,"LL",0.00336627026262783
3,14,"GM",0.00287977491279912
3,14,"NW",0.00369508977768157
3,14,"LL",0.00420351302362377
4,7,"GM",0.00460788695441172
4,7,"NW",0.00397293265434536
4,7,"LL",0.0016217198131158
4,10,"GM",0.00416211557569926
4,10,"NW",0.00347091425098139
4,10,"LL",0.00117089575699726
4,14,"GM",0.00301353324510745
4,14,"NW",0.00245083078369302
4,14,"LL",0.00113880498332418
5,7,"GM",0.0197575524248525
5,7,"NW",0.016921001618419
5,7,"LL",0.00866216792576454
5,10,"GM",0.00340819674568633
5,10,"NW",0.00326318154410472
5,10,"LL",0.00438368600352549
5,14,"GM",0.00782016047669697
5,14,"NW",0.00744092880933814
5,14,"LL",0.00434297534098532
6,7,"GM",0.00629427305489224
6,7,"NW",0.00629785694165429
6,7,"LL",0.0061875350963295
6,10,"GM",0.00590629082008364
6,10,"NW",0.00681925942349958
6,10,"LL",0.00402876783289064
6,14,"GM",0.00646512675960251
6,14,"NW",0.0055429404629236
6,14,"LL",0.00190112987308704
1,7,"GM",0.00212395937423168
1,7,"NW",0.00203209171787606
1,7,"LL",0.000300483953271065
1,10,"GM",0.0026187407593187
1,10,"NW",0.00258428777660668
1,10,"LL",0.000832090769504552
1,14,"GM",0.00133206408398662
1,14,"NW",0.00127254553845464
1,14,"LL",0.00072111645959552
2,7,"GM",0.0048402355335778
2,7,"NW",0.00460947896982869
2,7,"LL",0.00169932688023579
2,10,"GM",0.00158604823119341
2,10,"NW",0.00135890040526634
2,10,"LL",0.00103674108772874
2,14,"GM",0.000934405922648931
2,14,"NW",0.00160313739071469
2,14,"LL",0.000935192233109852
3,7,"GM",0.0112261662747471
3,7,"NW",0.00943408417699789
3,7,"LL",0.0121864596313207
3,10,"GM",0.017076047885931
3,10,"NW",0.00202296501784776
3,10,"LL",0.00118868300266091
3,14,"GM",0.00307190279521798
3,14,"NW",0.00338379150872338
3,14,"LL",0.00247598628519457
4,7,"GM",0.0051767221773894
4,7,"NW",0.0170090059923547
4,7,"LL",0.0299340877114359
4,10,"GM",0.00534726712473921
4,10,"NW",0.00520434609101306
4,10,"LL",0.00755338286040068
4,14,"GM",0.00282744548897415
4,14,"NW",0.00231030801825777
4,14,"LL",0.00122468215612093
5,7,"GM",0.010697195300811
5,7,"NW",0.00971452058922861
5,7,"LL",0.00581849698531381
5,10,"GM",0.00933214762159569
5,10,"NW",0.00704536824914424
5,10,"LL",0.00131788750345022
5,14,"GM",0.00575480351823753
5,14,"NW",0.00516977735611163
5,14,"LL",0.00307760776597384
6,7,"GM",0.00740346424066951
6,7,"NW",0.0038587815474536
6,7,"LL",0.000704888765505693
6,10,"GM",0.00517271175521243
6,10,"NW",0.00521272190700669
6,10,"LL",0.00404478186088578
6,14,"GM",0.00627414669956058
6,14,"NW",0.00348496957176138
6,14,"LL",0.00144315809727278
1,7,"GM",0.00135724558038071
1,7,"NW",0.00144522662165633
1,7,"LL",0.00151880071669359
1,10,"GM",0.00107408395873253
1,10,"NW",0.00091295015152083
1,10,"LL",0.000266162629024923
1,14,"GM",0.00115629489884842
1,14,"NW",0.000891409189529222
1,14,"LL",0.000233419606109021
2,7,"GM",0.00308466897942752
2,7,"NW",0.00334486681362565
2,7,"LL",0.00468748650444523
2,10,"GM",0.00377570109382084
2,10,"NW",0.00364722472295699
2,10,"LL",0.000904650021313718
2,14,"GM",0.00231953896622886
2,14,"NW",0.002339651994497
2,14,"LL",0.00109517303677363
3,7,"GM",0.0045602217615087
3,7,"NW",0.00438104325797322
3,7,"LL",0.00282191387353952
3,10,"GM",0.00163328500771704
3,10,"NW",0.00202179895108438
3,10,"LL",0.00113089911855039
3,14,"GM",0.00216350661551439
3,14,"NW",0.00180252035882914
3,14,"LL",0.00127132103634985
4,7,"GM",0.00291172547403377
4,7,"NW",0.00324247658599573
4,7,"LL",0.00213444589079614
4,10,"GM",0.00700104164118512
4,10,"NW",0.00660033391216304
4,10,"LL",0.0035881365743056
4,14,"GM",0.00247312915617747
4,14,"NW",0.00227772461342575
4,14,"LL",0.000471307385586785
5,7,"GM",0.0170540206147083
5,7,"NW",0.0114184657416811
5,7,"LL",0.00625212063467091
5,10,"GM",0.00936525443502692
5,10,"NW",0.00901669652825179
5,10,"LL",0.00151085716845741
5,14,"GM",0.0121678699964834
5,14,"NW",0.0101406925808432
5,14,"LL",0.00442111014725061
6,7,"GM",0.0158559330786927
6,7,"NW",0.00554533138673069
6,7,"LL",0.00176888135714883
6,10,"GM",0.00392848471922497
6,10,"NW",0.00410511722151111
6,10,"LL",0.00170253441212805
6,14,"GM",0.00174216466837636
6,14,"NW",0.00224890376103672
6,14,"LL",0.00199109660453676
1,7,"GM",0.00426285581912637
1,7,"NW",0.00389268102030946
1,7,"LL",0.00226060960837971
1,10,"GM",0.00184967863581365
1,10,"NW",0.00131947576157379
1,10,"LL",0.000414171634678936
1,14,"GM",0.00103270403238215
1,14,"NW",0.00152668142109172
1,14,"LL",0.00218671902222615
2,7,"GM",0.00145482008375109
2,7,"NW",0.00170751490339522
2,7,"LL",0.00217610936136141
2,10,"GM",0.00629704805637894
2,10,"NW",0.00471454252189156
2,10,"LL",0.00375764357644634
2,14,"GM",0.00346796131803046
2,14,"NW",0.00243778114104865
2,14,"LL",0.000484029942652803
3,7,"GM",0.00839590942744052
3,7,"NW",0.00622990276650375
3,7,"LL",0.00516666229047037
3,10,"GM",0.00401792886955018
3,10,"NW",0.00382352865850118
3,10,"LL",0.00263752319544344
3,14,"GM",0.00234710363580434
3,14,"NW",0.00225914427905315
3,14,"LL",0.00238218560377296
4,7,"GM",0.0175943665999933
4,7,"NW",0.0118503901285623
4,7,"LL",0.0193152805510029
4,10,"GM",0.00127415225807107
4,10,"NW",0.00129160898881225
4,10,"LL",0.00154457605138044
4,14,"GM",0.0019650916708125
4,14,"NW",0.00335995074228997
4,14,"LL",0.00100678078726729
5,7,"GM",0.00621808425693253
5,7,"NW",0.00539191717034374
5,7,"LL",0.00160409400819636
5,10,"GM",0.00817710548163447
5,10,"NW",0.00811372573398039
5,10,"LL",0.0029857054875228
5,14,"GM",0.00746696388333032
5,14,"NW",0.00493736382420457
5,14,"LL",0.00138833988103144
6,7,"GM",0.0153502352698466
6,7,"NW",0.0110382819521052
6,7,"LL",0.00583393374018276
6,10,"GM",0.00347878804872617
6,10,"NW",0.00295733347942429
6,10,"LL",0.00102561265624992
6,14,"GM",0.00328689751609034
6,14,"NW",0.00182284592020277
6,14,"LL",0.0012659507104018
1,7,"GM",0.00205474799387661
1,7,"NW",0.00157904735321433
1,7,"LL",0.00223771428684952
1,10,"GM",0.00126327834572594
1,10,"NW",0.00122469297018821
1,10,"LL",0.000337976524425408
1,14,"GM",0.00149428550960101
1,14,"NW",0.00153511139781717
1,14,"LL",0.000442868322825242
2,7,"GM",0.00281940048232745
2,7,"NW",0.0027138449833156
2,7,"LL",0.00247559286733488
2,10,"GM",0.0382508353318992
2,10,"NW",0.00407686094424651
2,10,"LL",0.00198868145109301
2,14,"GM",0.00235634441101166
2,14,"NW",0.00192170850695877
2,14,"LL",0.000226445557847182
3,7,"GM",0.00502856686813932
3,7,"NW",0.0046060671182968
3,7,"LL",0.00348129611039266
3,10,"GM",0.0017251158801895
3,10,"NW",0.00240597360099076
3,10,"LL",0.000799380764129246
3,14,"GM",0.00301734943966939
3,14,"NW",0.00289758197647436
3,14,"LL",0.00273813512493213
4,7,"GM",0.0125644795243135
4,7,"NW",0.0133799170291499
4,7,"LL",0.00524330140411146
4,10,"GM",0.00244396781072108
4,10,"NW",0.00240262894758149
4,10,"LL",0.00168868717506373
4,14,"GM",0.00224112087653378
4,14,"NW",0.00226251740232079
4,14,"LL",0.00157008311866452
5,7,"GM",0.0087275115213222
5,7,"NW",0.0127828727620424
5,7,"LL",0.00447963210846605
5,10,"GM",0.00825266632313007
5,10,"NW",0.0111129116680165
5,10,"LL",0.00961830031558543
5,14,"GM",0.007437761246865
5,14,"NW",0.00740274341102684
5,14,"LL",0.00695916085054061
6,7,"GM",0.0100842182885665
6,7,"NW",0.0061628759810238
6,7,"LL",0.00188644562725572
6,10,"GM",0.00451758368884769
6,10,"NW",0.00467495175395439
6,10,"LL",0.00159104516966439
6,14,"GM",0.00396239245780197
6,14,"NW",0.00379651938617192
6,14,"LL",0.0023757828268528
1,7,"GM",0.00135656611838886
1,7,"NW",0.00120350181180073
1,7,"LL",0.000792927097891986
1,10,"GM",0.000603542600003021
1,10,"NW",0.000728906173603299
1,10,"LL",0.000746064258888179
1,14,"GM",0.00128589093715759
1,14,"NW",0.00139760271380768
1,14,"LL",0.00103672183723248
2,7,"GM",0.0205523714834764
2,7,"NW",0.0186533941633523
2,7,"LL",0.00876098634192262
2,10,"GM",0.0109952062184305
2,10,"NW",0.0186535575121491
2,10,"LL",0.0136362750267756
2,14,"GM",0.00441538407221262
2,14,"NW",0.00376239575597159
2,14,"LL",0.00391753761714126
3,7,"GM",0.00357527833052532
3,7,"NW",0.00365733931726688
3,7,"LL",0.00312193618314478
3,10,"GM",0.00388660915669794
3,10,"NW",0.00302533122359381
3,10,"LL",0.00164108429798242
3,14,"GM",0.00503416746633948
3,14,"NW",0.00402895593627316
3,14,"LL",0.00217745068944959
4,7,"GM",0.00991343995465599
4,7,"NW",0.00893454929992736
4,7,"LL",0.00657720594279156
4,10,"GM",0.00424762098390042
4,10,"NW",0.00396050191040666
4,10,"LL",0.00183159076717614
4,14,"GM",0.00260532925215652
4,14,"NW",0.00272507773319823
4,14,"LL",0.00100510168984542
5,7,"GM",0.00987480644399578
5,7,"NW",0.00860001496154793
5,7,"LL",0.0044057905025335
5,10,"GM",0.0120194644703176
5,10,"NW",0.010957406624163
5,10,"LL",0.00457759339149419
5,14,"GM",0.00886307375057037
5,14,"NW",0.00788311018917462
5,14,"LL",0.00191839146110659
6,7,"GM",0.00600504032857395
6,7,"NW",0.00467501109940705
6,7,"LL",0.00111498230715491
6,10,"GM",0.00890716212916733
6,10,"NW",0.00879052086560962
6,10,"LL",0.00375894175581398
6,14,"GM",0.00633027226487924
6,14,"NW",0.00697337246885727
6,14,"LL",0.00393978945763658
1,7,"GM",0.00411482632457848
1,7,"NW",0.00648345424054551
1,7,"LL",0.00215580783464966
1,10,"GM",0.00188573509896465
1,10,"NW",0.00170771166797073
1,10,"LL",0.00121288914141465
1,14,"GM",0.00123297077487416
1,14,"NW",0.00197049469160846
1,14,"LL",0.00083899406832473
2,7,"GM",0.00761199947120612
2,7,"NW",0.00494117073836307
2,7,"LL",0.0143273731556628
2,10,"GM",0.00281948246402962
2,10,"NW",0.00323795317288861
2,10,"LL",0.00136616142489715
2,14,"GM",0.00323941030014407
2,14,"NW",0.00339889005653038
2,14,"LL",0.000696528994543838
3,7,"GM",0.00311908414274213
3,7,"NW",0.00313320627564888
3,7,"LL",0.00242105418957378
3,10,"GM",0.00480628626502157
3,10,"NW",0.00330123581134913
3,10,"LL",0.00333641293352383
3,14,"GM",0.0022989899365165
3,14,"NW",0.00241185256103398
3,14,"LL",0.00342079059677129
4,7,"GM",0.00757468397635591
4,7,"NW",0.00452948180235222
4,7,"LL",0.0024143364960877
4,10,"GM",0.00433953956085133
4,10,"NW",0.0087422989846047
4,10,"LL",0.00635871881990049
4,14,"GM",0.00153241740521627
4,14,"NW",0.00156446579241616
4,14,"LL",0.00109749756623442
5,7,"GM",0.0140873451303887
5,7,"NW",0.0190726628622542
5,7,"LL",0.00756410425587602
5,10,"GM",0.0114181843802186
5,10,"NW",0.0111474090771766
5,10,"LL",0.0115051802953458
5,14,"GM",0.00376082909765971
5,14,"NW",0.00474023949545055
5,14,"LL",0.00619607267973074
6,7,"GM",0.00277145307275676
6,7,"NW",0.00596190133707863
6,7,"LL",0.00272859756503174
6,10,"GM",0.00884772208107995
6,10,"NW",0.00831287357689085
6,10,"LL",0.00169124490758627
6,14,"GM",0.00561608654787884
6,14,"NW",0.00586414483607573
6,14,"LL",0.00308380423143035
1,7,"GM",0.003121161759241
1,7,"NW",0.00313357090146435
1,7,"LL",0.00139643959784468
1,10,"GM",0.00191645731410071
1,10,"NW",0.00132452417265021
1,10,"LL",0.000668616177238197
1,14,"GM",0.0009360718055617
1,14,"NW",0.00042655841121595
1,14,"LL",0.000445761183753967
2,7,"GM",0.0091131243445413
2,7,"NW",0.00996014745943247
2,7,"LL",0.00254277508625705
2,10,"GM",0.00376894884579526
2,10,"NW",0.003762184769637
2,10,"LL",0.00190044130369305
2,14,"GM",0.00162908794612899
2,14,"NW",0.00107197298386518
2,14,"LL",0.00081454097114334
3,7,"GM",0.00749881436294746
3,7,"NW",0.00772359771567627
3,7,"LL",0.00406885379865167
3,10,"GM",0.00368565693524255
3,10,"NW",0.0030653048490313
3,10,"LL",0.00115532265817282
3,14,"GM",0.00165654833668119
3,14,"NW",0.00127444657879822
3,14,"LL",0.00182094935324145
4,7,"GM",0.0147702559075211
4,7,"NW",0.00228839365681277
4,7,"LL",0.00180705784527122
4,10,"GM",0.00390322113316098
4,10,"NW",0.00377510185785604
4,10,"LL",0.00234965976859107
4,14,"GM",0.00215095222647542
4,14,"NW",0.00203844347209982
4,14,"LL",0.000644090956107592
5,7,"GM",0.0111486226903602
5,7,"NW",0.00740402333642939
5,7,"LL",0.00101721143365806
5,10,"GM",0.0171219772021408
5,10,"NW",0.00802208658008993
5,10,"LL",0.00633917071519251
5,14,"GM",0.00449598939506621
5,14,"NW",0.00587527107246062
5,14,"LL",0.00525244108296712
6,7,"GM",0.00460122838142176
6,7,"NW",0.00439948357875178
6,7,"LL",0.00168024091235563
6,10,"GM",0.00792452420668139
6,10,"NW",0.00577781457919954
6,10,"LL",0.00367860966106909
6,14,"GM",0.00726698039069475
6,14,"NW",0.00373817249007589
6,14,"LL",0.00205678904844827
